term,coefficient,std_error,p_value
Intercept,9.220432156969823,0.024178448620955206,0.0
disclosure_index_z,0.02110404861217396,0.0023409264185360783,1.9641296972206544e-19
is_private,-0.06666348905499336,0.006871393742166235,2.9681751321892005e-22
disclosure_index_z:is_private,-0.0012661032622911413,0.0065285097932345736,0.8462271718308724
