model,rmse_log_price,mae_log_price,r2
Structured baseline,0.3971630757458306,0.2752391596692537,0.8392698704971745
Structured + disclosure lexicon,0.390193741717221,0.2718926984733254,0.8448612946258454
Structured + TF-IDF residual text,0.38145249140300047,0.2631942152213453,0.8517343740294869
